,date,RSI,MACD,BBANDS+1d,BBANDS+2d,BBANDS-1d,BBANDS-2d,comp_ratio,GC/DC
2090,2014-03-11,55.40396608262176,0.0694033802007965,1.002939483017059,1.0075154174978258,0.9846357450939925,0.9800598106132259,1,0.0036916312146113572
2091,2014-03-12,52.23601476350878,0.07464520734153268,1.0056258784913212,1.0102778758278632,0.9870178891451538,0.9823658918086119,0,0.0029585199473880497
2092,2014-03-13,42.50049293255855,0.0037133601459089505,1.0149004998385012,1.0197216256414898,0.9956159966265471,0.9907948708235584,0,0.00026478076263480865
2093,2014-03-14,38.51100610062282,-0.09019294019419988,1.020160018948012,1.0253391799610854,0.9994433748957183,0.9942642138826449,0,-0.0025187963687394177
2094,2014-03-17,43.398417993956535,-0.13003185994563182,1.0161226772136636,1.0213590182770136,0.995177312960263,0.989940971896913,0,-0.0031427690454421953
2095,2014-03-18,40.601146508365254,-0.18608763057771682,1.0196639298848658,1.025264329369884,0.9972623319447924,0.9916619324597741,3,-0.004211187999499932
2096,2014-03-19,50.0560456011384,-0.15609044083844026,1.0107022948447524,1.01625375495034,0.9884964544224014,0.9829449943168137,0,-0.0025804435165662776
2097,2014-03-20,50.620358776745036,-0.1260232358764597,1.0101808787825028,1.0157327439550028,0.9879734180925023,0.9824215529200022,3,-0.0013968293888924066
2098,2014-03-21,49.32007606607459,-0.11140051705010023,1.0112925929666308,1.0168288865165334,0.9891474187670208,0.9836111252171184,2,-0.000942938038648311
2099,2014-03-24,49.111067890923145,-0.10026989099468153,1.0113297602726357,1.0168479411424483,0.9892570367933844,0.9837388559235717,1,-0.0006848528008669419
2100,2014-03-25,49.34225842234636,-0.08881119660945558,1.0111493908232885,1.0166654180037786,0.9890852821013281,0.9835692549208381,1,-0.0004606684310435316
2101,2014-03-26,46.822391166152364,-0.09637135118958895,1.0132011731980806,1.0187459048240672,0.9910222466941343,0.9854775150681476,2,-0.0008248598844438071
2102,2014-03-27,48.37118650440041,-0.0916236506333945,1.0120226668338723,1.0175568543175586,0.989885916899127,0.9843517294154407,0,-0.0007369045479310721
2103,2014-03-28,55.77005105768904,-0.035805666999536356,1.0062391464607399,1.0117539147110484,0.9841800734595064,0.978665305209198,2,0.0008252331573784799
2104,2014-03-31,59.749582064161984,0.04104096595577289,1.0030184532744633,1.0084707142073728,0.9812094095428253,0.9757571486099157,3,0.002677342323417431
2105,2014-04-01,63.38401221291519,0.13428501210644583,1.0007699951565143,1.0067633485819334,0.9767965814548378,0.9708032280294188,3,0.004661307424526306
2106,2014-04-02,65.31152713005525,0.22495444983580626,1.0005462526613702,1.007192116766409,0.973962796241215,0.9673169321361761,3,0.006253429141474864
2107,2014-04-03,65.63621156003738,0.2966190583151018,1.0016162429670745,1.0087826208016497,0.9729507316287734,0.9657843537941981,3,0.0071106735715910085
2108,2014-04-04,56.520565639527334,0.2983321383679396,1.0078230051233383,1.0150337911861682,0.978979860872019,0.9717690748091893,2,0.005973919292936225
2109,2014-04-07,54.360911039917234,0.2827132450946124,1.0092824231007822,1.016442788952404,0.9806409596942963,0.9734805938426747,0,0.004687840935108767
2110,2014-04-08,41.34943666752363,0.1635507133836569,1.0218075498421209,1.0291753263347347,0.992336443871665,0.9849686673790511,1,0.0007651167813773618
2111,2014-04-09,43.26194987603842,0.08188718325816069,1.0198558917727665,1.0272808959058637,0.9901558752403785,0.9827308711072813,0,-0.0012616926417929886
2112,2014-04-10,39.58249332915335,-0.018924838159335877,1.024541703025617,1.0321587576311062,0.9940734846036606,0.9864564299981714,2,-0.0035095018669675238
2113,2014-04-11,40.55052105800392,-0.09131118157009155,1.0235377560323706,1.0309886535348256,0.9937341660225505,0.9862832685200954,0,-0.004559339231638315
2114,2014-04-14,43.36027733181394,-0.12863596707344982,1.0211982674338291,1.0286012110486213,0.9915864929746603,0.984183549359868,2,-0.00450037125468028
2115,2014-04-15,44.4663313018589,-0.14923360851256007,1.0200056681015595,1.0271364330853312,0.9914826081664728,0.9843518431827012,3,-0.004114095355616021
2116,2014-04-16,48.104229907029335,-0.13973906994192475,1.0169922767083095,1.024118954043193,0.9884855673687766,0.9813588900338932,2,-0.003043176449972429
2117,2014-04-17,49.986011125936024,-0.1179443280994974,1.0153997259674008,1.0225160358697445,0.9869344863580265,0.9798181764556829,3,-0.001932232161633185
2118,2014-04-18,50.34954622353624,-0.09713141835855765,1.0151416731723508,1.0222389694343696,0.9867524881242757,0.979655191862257,2,-0.0011335730201607053
2119,2014-04-21,52.81206337978551,-0.06376368088793072,1.013298168303387,1.0203589655714311,0.9850549792312114,0.9779941819631673,2,-0.00015096329881469917
2120,2014-04-22,52.81206337978551,-0.03689421499626633,1.0134219052007525,1.0204593048874657,0.9852723064539005,0.9782349067671874,2,0.00044518184407127404
2121,2014-04-23,51.6242742133231,-0.021803958642436783,1.014271518130762,1.021224421725106,0.9864599037533855,0.9795070001590415,2,0.0006054875936216675
2122,2014-04-24,48.40043853126447,-0.02728248761147256,1.016456307270044,1.0233895039074103,0.9887235207205789,0.9817903240832127,1,0.00017228392954549143
2123,2014-04-25,46.27841275159482,-0.04322968281385897,1.017704988265987,1.02468315529709,0.9897923201415744,0.9828141531104712,0,-0.0004449654315419327
2124,2014-04-28,51.3336073579797,-0.02890649178651472,1.013753278294385,1.0205469906123077,0.9865784290226937,0.9797847167047709,1,-3.416448771575986e-05
2125,2014-04-29,53.339630753108416,-0.006187108596577673,1.0109442654417784,1.017259149526657,0.9856847291022645,0.979369845017386,3,0.000538308705762991
2126,2014-04-30,47.603889863307735,-0.018629904005067033,1.0122240913990217,1.0177200604312129,0.990240215270258,0.9847442462380669,2,-1.5053562496536443e-05
2127,2014-05-01,48.85089609108843,-0.021784459906257325,1.008242311035969,1.0125246938355625,0.9911127798375949,0.9868303970380014,0,-0.00016316209647415647
